danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,audio_features,265jHUE2zMARKwtIhkknsS,spotify:track:265jHUE2zMARKwtIhkknsS,https://api.spotify.com/v1/tracks/265jHUE2zMARKwtIhkknsS,https://api.spotify.com/v1/audio-analysis/265jHUE2zMARKwtIhkknsS,187520,4
0.294,0.64,11,-9.316,1,0.0291,0.016,0.22,0.112,0.226,79.79,audio_features,3YRCqOhFifThpSRFJ1VWFM,spotify:track:3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/audio-analysis/3YRCqOhFifThpSRFJ1VWFM,536067,4
0.489,0.918,1,-4.502,1,0.0554,3.53e-05,7.64e-05,0.0908,0.691,116.731,audio_features,4TMhakloPMPS84lNHNTSa3,spotify:track:4TMhakloPMPS84lNHNTSa3,https://api.spotify.com/v1/tracks/4TMhakloPMPS84lNHNTSa3,https://api.spotify.com/v1/audio-analysis/4TMhakloPMPS84lNHNTSa3,300893,4
0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.358,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295533,4
0.679,0.742,2,-7.863,0,0.029,0.036,0.0,0.0791,0.552,125.052,audio_features,5JFZ9Dn9Br9d0C3BEaO75L,spotify:track:5JFZ9Dn9Br9d0C3BEaO75L,https://api.spotify.com/v1/tracks/5JFZ9Dn9Br9d0C3BEaO75L,https://api.spotify.com/v1/audio-analysis/5JFZ9Dn9Br9d0C3BEaO75L,202102,4
0.411,0.404,0,-9.928,0,0.0511,0.271,0.0,0.3,0.226,71.068,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4
0.445,0.952,6,-5.321,1,0.0522,0.09,0.0843,0.112,0.624,125.304,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,5FVd6KXrgO9B3JPmC8OPst,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394,4
0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4
